"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"baseline_30y"
"02/20/2026 23:17:58:214 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"1","0.52","2.81","1.56","1","3.36","1.66","7","667","81","586","0.12143928035982009"
"9","0.52","2.81","1.56","1","3.36","1.66","4","659","77","582","0.11684370257966616"
"11","0.52","2.81","1.56","1","3.36","1.66","3","662","76","586","0.1148036253776435"
"2","0.52","2.81","1.56","1","3.36","1.66","9","678","93","585","0.13716814159292035"
"3","0.52","2.81","1.56","1","3.36","1.66","9","661","69","592","0.1043872919818457"
"5","0.52","2.81","1.56","1","3.36","1.66","4","661","80","581","0.12102874432677761"
"9","0.52","2.81","1.56","1","3.36","1.66","5","657","84","573","0.1278538812785388"
"4","0.52","2.81","1.56","1","3.36","1.66","9","667","91","576","0.136431784107946"
"2","0.52","2.81","1.56","1","3.36","1.66","10","676","95","581","0.14053254437869822"
"6","0.52","2.81","1.56","1","3.36","1.66","6","652","59","593","0.09049079754601227"
"8","0.52","2.81","1.56","1","3.36","1.66","4","666","77","589","0.11561561561561562"
"12","0.52","2.81","1.56","1","3.36","1.66","5","660","72","588","0.10909090909090909"
"1","0.52","2.81","1.56","1","3.36","1.66","8","668","81","587","0.12125748502994012"
"3","0.52","2.81","1.56","1","3.36","1.66","10","666","68","598","0.1021021021021021"
"10","0.52","2.81","1.56","1","3.36","1.66","4","653","73","580","0.11179173047473201"
"7","0.52","2.81","1.56","1","3.36","1.66","4","675","57","618","0.08444444444444445"
"1","0.52","2.81","1.56","1","3.36","1.66","9","668","82","586","0.12275449101796407"
"12","0.52","2.81","1.56","1","3.36","1.66","6","666","77","589","0.11561561561561562"
"2","0.52","2.81","1.56","1","3.36","1.66","11","675","97","578","0.1437037037037037"
"8","0.52","2.81","1.56","1","3.36","1.66","5","665","80","585","0.12030075187969924"
"11","0.52","2.81","1.56","1","3.36","1.66","4","662","77","585","0.1163141993957704"
"6","0.52","2.81","1.56","1","3.36","1.66","7","651","60","591","0.09216589861751152"
"9","0.52","2.81","1.56","1","3.36","1.66","6","656","83","573","0.12652439024390244"
"3","0.52","2.81","1.56","1","3.36","1.66","11","665","70","595","0.10526315789473684"
"5","0.52","2.81","1.56","1","3.36","1.66","5","658","82","576","0.12462006079027356"
"4","0.52","2.81","1.56","1","3.36","1.66","10","663","92","571","0.138763197586727"
"12","0.52","2.81","1.56","1","3.36","1.66","7","670","79","591","0.11791044776119403"
"1","0.52","2.81","1.56","1","3.36","1.66","10","670","82","588","0.12238805970149254"
"10","0.52","2.81","1.56","1","3.36","1.66","5","661","75","586","0.11346444780635401"
"2","0.52","2.81","1.56","1","3.36","1.66","12","679","100","579","0.14727540500736377"
"4","0.52","2.81","1.56","1","3.36","1.66","11","658","93","565","0.1413373860182371"
"8","0.52","2.81","1.56","1","3.36","1.66","6","663","82","581","0.12368024132730016"
"3","0.52","2.81","1.56","1","3.36","1.66","12","664","73","591","0.10993975903614457"
"5","0.52","2.81","1.56","1","3.36","1.66","6","656","83","573","0.12652439024390244"
"11","0.52","2.81","1.56","1","3.36","1.66","5","662","78","584","0.11782477341389729"
"9","0.52","2.81","1.56","1","3.36","1.66","7","654","88","566","0.1345565749235474"
"7","0.52","2.81","1.56","1","3.36","1.66","5","672","58","614","0.08630952380952381"
"12","0.52","2.81","1.56","1","3.36","1.66","8","672","82","590","0.12202380952380952"
"6","0.52","2.81","1.56","1","3.36","1.66","8","654","60","594","0.09174311926605505"
"1","0.52","2.81","1.56","1","3.36","1.66","11","673","84","589","0.12481426448736999"
"8","0.52","2.81","1.56","1","3.36","1.66","7","658","88","570","0.1337386018237082"
"4","0.52","2.81","1.56","1","3.36","1.66","12","658","94","564","0.14285714285714285"
"7","0.52","2.81","1.56","1","3.36","1.66","6","671","63","608","0.09388971684053651"
"11","0.52","2.81","1.56","1","3.36","1.66","6","658","79","579","0.12006079027355623"
"5","0.52","2.81","1.56","1","3.36","1.66","7","661","86","575","0.13010590015128592"
"6","0.52","2.81","1.56","1","3.36","1.66","9","653","62","591","0.09494640122511486"
"9","0.52","2.81","1.56","1","3.36","1.66","8","652","93","559","0.14263803680981596"
"10","0.52","2.81","1.56","1","3.36","1.66","6","654","75","579","0.11467889908256881"
"2","0.52","2.81","1.56","1","3.36","1.66","13","672","100","572","0.1488095238095238"
"12","0.52","2.81","1.56","1","3.36","1.66","9","679","83","596","0.12223858615611193"
"1","0.52","2.81","1.56","1","3.36","1.66","12","677","86","591","0.12703101920236337"
"3","0.52","2.81","1.56","1","3.36","1.66","13","665","72","593","0.10827067669172932"
"11","0.52","2.81","1.56","1","3.36","1.66","7","655","81","574","0.12366412213740458"
"6","0.52","2.81","1.56","1","3.36","1.66","10","653","62","591","0.09494640122511486"
"10","0.52","2.81","1.56","1","3.36","1.66","7","646","77","569","0.11919504643962849"
"4","0.52","2.81","1.56","1","3.36","1.66","13","657","96","561","0.1461187214611872"
"2","0.52","2.81","1.56","1","3.36","1.66","14","680","107","573","0.15735294117647058"
"5","0.52","2.81","1.56","1","3.36","1.66","8","663","87","576","0.13122171945701358"
"1","0.52","2.81","1.56","1","3.36","1.66","13","681","88","593","0.12922173274596183"
"9","0.52","2.81","1.56","1","3.36","1.66","9","649","96","553","0.14791987673343607"
"12","0.52","2.81","1.56","1","3.36","1.66","10","677","84","593","0.1240768094534712"
"7","0.52","2.81","1.56","1","3.36","1.66","7","675","65","610","0.0962962962962963"
"10","0.52","2.81","1.56","1","3.36","1.66","8","647","79","568","0.12210200927357033"
"3","0.52","2.81","1.56","1","3.36","1.66","14","666","72","594","0.10810810810810811"
"8","0.52","2.81","1.56","1","3.36","1.66","8","660","90","570","0.13636363636363635"
"4","0.52","2.81","1.56","1","3.36","1.66","14","655","99","556","0.15114503816793892"
"1","0.52","2.81","1.56","1","3.36","1.66","14","681","89","592","0.13069016152716592"
"9","0.52","2.81","1.56","1","3.36","1.66","10","646","98","548","0.15170278637770898"
"12","0.52","2.81","1.56","1","3.36","1.66","11","679","85","594","0.1251840942562592"
"6","0.52","2.81","1.56","1","3.36","1.66","11","651","61","590","0.09370199692780339"
"5","0.52","2.81","1.56","1","3.36","1.66","9","662","88","574","0.13293051359516617"
"4","0.52","2.81","1.56","1","3.36","1.66","15","662","103","559","0.1555891238670695"
"1","0.52","2.81","1.56","1","3.36","1.66","15","681","90","591","0.13215859030837004"
"3","0.52","2.81","1.56","1","3.36","1.66","15","666","74","592","0.1111111111111111"
"2","0.52","2.81","1.56","1","3.36","1.66","15","680","110","570","0.16176470588235295"
"10","0.52","2.81","1.56","1","3.36","1.66","9","648","81","567","0.125"
"8","0.52","2.81","1.56","1","3.36","1.66","9","657","91","566","0.1385083713850837"
"12","0.52","2.81","1.56","1","3.36","1.66","12","679","90","589","0.1325478645066274"
"5","0.52","2.81","1.56","1","3.36","1.66","10","665","90","575","0.13533834586466165"
"9","0.52","2.81","1.56","1","3.36","1.66","11","653","99","554","0.15160796324655437"
"4","0.52","2.81","1.56","1","3.36","1.66","16","663","103","560","0.15535444947209653"
"1","0.52","2.81","1.56","1","3.36","1.66","16","676","88","588","0.1301775147928994"
"11","0.52","2.81","1.56","1","3.36","1.66","8","653","82","571","0.12557427258805512"
"7","0.52","2.81","1.56","1","3.36","1.66","8","673","65","608","0.09658246656760773"
"9","0.52","2.81","1.56","1","3.36","1.66","12","654","102","552","0.1559633027522936"
"8","0.52","2.81","1.56","1","3.36","1.66","10","655","93","562","0.14198473282442747"
"2","0.52","2.81","1.56","1","3.36","1.66","16","685","112","573","0.1635036496350365"
"3","0.52","2.81","1.56","1","3.36","1.66","16","666","75","591","0.11261261261261261"
"6","0.52","2.81","1.56","1","3.36","1.66","12","655","65","590","0.09923664122137404"
