"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"no_migration_30y"
"02/20/2026 23:18:22:333 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"13","0.52","2.81","1.56","1","0","0","16","658","80","578","0.12158054711246201"
"17","0.52","2.81","1.56","1","0","0","15","651","92","559","0.141321044546851"
"22","0.52","2.81","1.56","1","0","0","8","638","56","582","0.0877742946708464"
"14","0.52","2.81","1.56","1","0","0","18","637","82","555","0.12872841444270017"
"19","0.52","2.81","1.56","1","0","0","9","668","73","595","0.1092814371257485"
"23","0.52","2.81","1.56","1","0","0","7","641","71","570","0.11076443057722309"
"20","0.52","2.81","1.56","1","0","0","9","650","60","590","0.09230769230769231"
"15","0.52","2.81","1.56","1","0","0","15","665","80","585","0.12030075187969924"
"16","0.52","2.81","1.56","1","0","0","9","645","77","568","0.11937984496124031"
"18","0.52","2.81","1.56","1","0","0","7","639","66","573","0.10328638497652583"
"24","0.52","2.81","1.56","1","0","0","5","658","73","585","0.11094224924012158"
"19","0.52","2.81","1.56","1","0","0","10","669","75","594","0.11210762331838565"
"21","0.52","2.81","1.56","1","0","0","9","662","58","604","0.08761329305135952"
"13","0.52","2.81","1.56","1","0","0","17","659","81","578","0.12291350531107739"
"22","0.52","2.81","1.56","1","0","0","9","637","56","581","0.08791208791208792"
"17","0.52","2.81","1.56","1","0","0","16","653","95","558","0.14548238897396631"
"14","0.52","2.81","1.56","1","0","0","19","635","83","552","0.13070866141732285"
"16","0.52","2.81","1.56","1","0","0","10","641","78","563","0.12168486739469579"
"23","0.52","2.81","1.56","1","0","0","8","645","73","572","0.11317829457364341"
"15","0.52","2.81","1.56","1","0","0","16","658","79","579","0.12006079027355623"
"21","0.52","2.81","1.56","1","0","0","10","667","60","607","0.08995502248875563"
"24","0.52","2.81","1.56","1","0","0","6","658","75","583","0.11398176291793313"
"13","0.52","2.81","1.56","1","0","0","18","663","82","581","0.12368024132730016"
"22","0.52","2.81","1.56","1","0","0","10","638","56","582","0.0877742946708464"
"20","0.52","2.81","1.56","1","0","0","10","652","59","593","0.09049079754601227"
"18","0.52","2.81","1.56","1","0","0","8","638","66","572","0.10344827586206896"
"16","0.52","2.81","1.56","1","0","0","11","641","78","563","0.12168486739469579"
"14","0.52","2.81","1.56","1","0","0","20","630","82","548","0.13015873015873017"
"17","0.52","2.81","1.56","1","0","0","17","651","96","555","0.14746543778801843"
"15","0.52","2.81","1.56","1","0","0","17","659","79","580","0.11987860394537178"
"24","0.52","2.81","1.56","1","0","0","7","655","75","580","0.11450381679389313"
"23","0.52","2.81","1.56","1","0","0","9","637","75","562","0.11773940345368916"
"19","0.52","2.81","1.56","1","0","0","11","678","78","600","0.11504424778761062"
