"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"high_inflow_share_30y"
"02/20/2026 23:18:46:501 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"164","0.7","2.81","1.56","1","3.36","1.66","24","662","123","539","0.18580060422960726"
"162","0.7","2.81","1.56","1","3.36","1.66","19","678","135","543","0.19911504424778761"
"161","0.7","2.81","1.56","1","3.36","1.66","26","684","133","551","0.19444444444444445"
"171","0.7","2.81","1.56","1","3.36","1.66","5","668","74","594","0.11077844311377245"
"162","0.7","2.81","1.56","1","3.36","1.66","20","681","135","546","0.19823788546255505"
"161","0.7","2.81","1.56","1","3.36","1.66","27","682","135","547","0.19794721407624633"
"162","0.7","2.81","1.56","1","3.36","1.66","21","682","136","546","0.19941348973607037"
"161","0.7","2.81","1.56","1","3.36","1.66","28","682","141","541","0.20674486803519063"
"161","0.7","2.81","1.56","1","3.36","1.66","29","681","144","537","0.21145374449339208"
"161","0.7","2.81","1.56","1","3.36","1.66","30","680","146","534","0.21470588235294116"
"173","0.7","2.81","1.56","1","3.36","1.66","0","670","58","612","0.08656716417910448"
"173","0.7","2.81","1.56","1","3.36","1.66","1","667","57","610","0.08545727136431784"
"173","0.7","2.81","1.56","1","3.36","1.66","2","668","60","608","0.08982035928143713"
"173","0.7","2.81","1.56","1","3.36","1.66","3","668","62","606","0.09281437125748503"
"173","0.7","2.81","1.56","1","3.36","1.66","4","669","63","606","0.09417040358744394"
"173","0.7","2.81","1.56","1","3.36","1.66","5","672","65","607","0.09672619047619048"
"173","0.7","2.81","1.56","1","3.36","1.66","6","674","66","608","0.09792284866468842"
"173","0.7","2.81","1.56","1","3.36","1.66","7","676","69","607","0.10207100591715976"
"173","0.7","2.81","1.56","1","3.36","1.66","8","675","72","603","0.10666666666666667"
"173","0.7","2.81","1.56","1","3.36","1.66","9","671","73","598","0.10879284649776454"
"173","0.7","2.81","1.56","1","3.36","1.66","10","668","73","595","0.1092814371257485"
"173","0.7","2.81","1.56","1","3.36","1.66","11","667","74","593","0.11094452773613193"
"173","0.7","2.81","1.56","1","3.36","1.66","12","674","75","599","0.11127596439169139"
"173","0.7","2.81","1.56","1","3.36","1.66","13","669","76","593","0.11360239162929746"
"173","0.7","2.81","1.56","1","3.36","1.66","14","669","79","590","0.11808669656203288"
"173","0.7","2.81","1.56","1","3.36","1.66","15","672","83","589","0.12351190476190477"
