scenario,scenario_label,run,step,total_population,muslim_population,non_muslim_population,muslim_share,year
no_migration_30y,No migration counterfactual,125,1,662,83,579,0.1253776435045317,2027
no_migration_30y,No migration counterfactual,122,15,633,78,555,0.1232227488151658,2041
no_migration_30y,No migration counterfactual,129,1,668,64,604,0.0958083832335329,2027
no_migration_30y,No migration counterfactual,119,21,599,57,542,0.0951585976627712,2047
no_migration_30y,No migration counterfactual,121,17,656,69,587,0.1051829268292682,2043
no_migration_30y,No migration counterfactual,120,27,630,107,523,0.1698412698412698,2053
no_migration_30y,No migration counterfactual,128,4,658,62,596,0.094224924012158,2030
no_migration_30y,No migration counterfactual,127,5,653,63,590,0.0964777947932618,2031
no_migration_30y,No migration counterfactual,123,12,666,80,586,0.1201201201201201,2038
no_migration_30y,No migration counterfactual,122,16,632,79,553,0.125,2042
no_migration_30y,No migration counterfactual,125,2,655,82,573,0.1251908396946565,2028
no_migration_30y,No migration counterfactual,124,11,661,72,589,0.1089258698940998,2037
no_migration_30y,No migration counterfactual,126,9,644,58,586,0.0900621118012422,2035
no_migration_30y,No migration counterfactual,129,2,662,66,596,0.0996978851963746,2028
no_migration_30y,No migration counterfactual,130,0,670,75,595,0.1119402985074626,2026
no_migration_30y,No migration counterfactual,119,22,594,57,537,0.0959595959595959,2048
no_migration_30y,No migration counterfactual,120,28,624,106,518,0.1698717948717948,2054
no_migration_30y,No migration counterfactual,128,5,659,62,597,0.094081942336874,2031
no_migration_30y,No migration counterfactual,121,18,656,70,586,0.1067073170731707,2044
no_migration_30y,No migration counterfactual,123,13,662,79,583,0.1193353474320241,2039
no_migration_30y,No migration counterfactual,122,17,634,81,553,0.1277602523659306,2043
no_migration_30y,No migration counterfactual,124,12,662,72,590,0.1087613293051359,2038
no_migration_30y,No migration counterfactual,127,6,657,64,593,0.0974124809741248,2032
no_migration_30y,No migration counterfactual,125,3,649,82,567,0.1263482280431433,2029
no_migration_30y,No migration counterfactual,126,10,641,58,583,0.0904836193447738,2036
no_migration_30y,No migration counterfactual,129,3,664,67,597,0.1009036144578313,2029
no_migration_30y,No migration counterfactual,119,23,593,58,535,0.0978077571669477,2049
no_migration_30y,No migration counterfactual,120,29,622,105,517,0.1688102893890675,2055
no_migration_30y,No migration counterfactual,128,6,657,63,594,0.0958904109589041,2032
no_migration_30y,No migration counterfactual,130,1,653,73,580,0.111791730474732,2027
no_migration_30y,No migration counterfactual,121,19,653,70,583,0.1071975497702909,2045
no_migration_30y,No migration counterfactual,124,13,664,72,592,0.108433734939759,2039
no_migration_30y,No migration counterfactual,122,18,629,81,548,0.1287758346581876,2044
no_migration_30y,No migration counterfactual,123,14,664,79,585,0.1189759036144578,2040
no_migration_30y,No migration counterfactual,129,4,662,67,595,0.1012084592145015,2030
no_migration_30y,No migration counterfactual,126,11,644,58,586,0.0900621118012422,2037
no_migration_30y,No migration counterfactual,119,24,583,58,525,0.0994854202401372,2050
no_migration_30y,No migration counterfactual,125,4,652,86,566,0.1319018404907975,2030
no_migration_30y,No migration counterfactual,127,7,654,63,591,0.0963302752293578,2033
no_migration_30y,No migration counterfactual,120,30,625,107,518,0.1712,2056
no_migration_30y,No migration counterfactual,128,7,652,60,592,0.0920245398773006,2033
no_migration_30y,No migration counterfactual,130,2,652,75,577,0.1150306748466257,2028
no_migration_30y,No migration counterfactual,121,20,652,70,582,0.107361963190184,2046
no_migration_30y,No migration counterfactual,124,14,658,71,587,0.10790273556231,2040
no_migration_30y,No migration counterfactual,122,19,622,82,540,0.1318327974276527,2045
no_migration_30y,No migration counterfactual,129,5,665,66,599,0.0992481203007518,2031
no_migration_30y,No migration counterfactual,119,25,580,57,523,0.0982758620689655,2051
no_migration_30y,No migration counterfactual,123,15,665,79,586,0.118796992481203,2041
no_migration_30y,No migration counterfactual,126,12,644,58,586,0.0900621118012422,2038
no_migration_30y,No migration counterfactual,125,5,651,88,563,0.1351766513056835,2031
no_migration_30y,No migration counterfactual,127,8,658,64,594,0.0972644376899696,2034
no_migration_30y,No migration counterfactual,130,3,642,73,569,0.1137071651090342,2029
no_migration_30y,No migration counterfactual,121,21,654,70,584,0.1070336391437308,2047
no_migration_30y,No migration counterfactual,128,8,655,62,593,0.0946564885496183,2034
no_migration_30y,No migration counterfactual,122,20,618,81,537,0.1310679611650485,2046
no_migration_30y,No migration counterfactual,124,15,659,72,587,0.1092564491654021,2041
no_migration_30y,No migration counterfactual,129,6,667,68,599,0.1019490254872563,2032
no_migration_30y,No migration counterfactual,126,13,648,57,591,0.0879629629629629,2039
no_migration_30y,No migration counterfactual,119,26,580,58,522,0.1,2052
no_migration_30y,No migration counterfactual,131,0,670,69,601,0.1029850746268656,2026
no_migration_30y,No migration counterfactual,123,16,665,79,586,0.118796992481203,2042
no_migration_30y,No migration counterfactual,125,6,649,88,561,0.135593220338983,2032
no_migration_30y,No migration counterfactual,127,9,664,64,600,0.0963855421686747,2035
no_migration_30y,No migration counterfactual,121,22,657,71,586,0.1080669710806697,2048
no_migration_30y,No migration counterfactual,122,21,614,81,533,0.1319218241042345,2047
no_migration_30y,No migration counterfactual,130,4,639,74,565,0.1158059467918622,2030
no_migration_30y,No migration counterfactual,129,7,670,70,600,0.1044776119402985,2033
no_migration_30y,No migration counterfactual,128,9,655,62,593,0.0946564885496183,2035
