scenario,scenario_label,step,year,runs,mean_share,p10_share,p50_share,p90_share,mean_total_population,p10_total_population,p50_total_population,p90_total_population
baseline_30y,Baseline calibrated,0,2026,200,0.09829850746268652,0.08343283582089552,0.0985074626865671,0.11208955223880587,670.0,670.0,670.0,670.0
baseline_30y,Baseline calibrated,1,2027,200,0.10082000715752884,0.08497429832040145,0.1021021021021021,0.1157894736842105,667.02,662.0,667.0,671.0
baseline_30y,Baseline calibrated,2,2028,200,0.10362041154510163,0.08732316654003396,0.10534289946054651,0.11940181268882169,664.365,657.0,665.0,671.0
baseline_30y,Baseline calibrated,3,2029,200,0.10648655812777155,0.08869520127154468,0.10711512218770755,0.12316369857275761,662.63,652.9,663.0,672.0
baseline_30y,Baseline calibrated,4,2030,200,0.10939437070544013,0.09141354967432823,0.11003050208539235,0.1258014600134714,661.965,652.0,662.0,673.0
baseline_30y,Baseline calibrated,5,2031,200,0.11263311162901701,0.09453421063590554,0.11235961360637045,0.12997696136915288,661.975,649.9,662.0,673.1
baseline_30y,Baseline calibrated,6,2032,200,0.11562237346813013,0.09558660651574905,0.1158215661103979,0.1328848160091047,661.675,649.0,661.0,675.0
baseline_30y,Baseline calibrated,7,2033,200,0.1186624255686507,0.09902021837505708,0.11877349624060149,0.13643005816766235,661.595,647.9,661.0,676.0
baseline_30y,Baseline calibrated,8,2034,200,0.12171977095146243,0.10253325621746669,0.121602440788738,0.13985264384983873,662.955,649.9,662.0,678.1
baseline_30y,Baseline calibrated,9,2035,200,0.1248076691874016,0.10343779478042128,0.12463663028070104,0.14401045447945401,663.44,646.9,663.0,680.1
baseline_30y,Baseline calibrated,10,2036,200,0.12795961992526247,0.10596142226353703,0.1283212992225887,0.1473338112617309,664.605,646.9,665.0,683.0
baseline_30y,Baseline calibrated,11,2037,200,0.13103981254401664,0.10928427554720017,0.1319340329835082,0.15065352546108576,665.6,647.0,667.0,683.1
baseline_30y,Baseline calibrated,12,2038,200,0.13414913720207083,0.1127905004240882,0.1344748192536812,0.15488440694244354,666.44,645.0,668.0,685.1
baseline_30y,Baseline calibrated,13,2039,200,0.13727517518257606,0.1155555555555555,0.13702367739548643,0.15867762626627357,667.425,648.9,668.0,687.0
baseline_30y,Baseline calibrated,14,2040,200,0.14030659747447577,0.11813449669655222,0.13997103807864997,0.16325933466169967,668.62,648.0,668.0,688.1
baseline_30y,Baseline calibrated,15,2041,200,0.14372176316053528,0.12128816205031392,0.1426495016611295,0.1672401283967988,669.555,648.0,670.0,690.0
baseline_30y,Baseline calibrated,16,2042,200,0.14661088515832274,0.12388686991982688,0.14560302660739335,0.17109193543645076,670.18,648.0,672.0,691.1
baseline_30y,Baseline calibrated,17,2043,200,0.14965792880292428,0.12754997354679912,0.14855301062804765,0.17424108095294527,670.195,647.8,670.5,690.0
baseline_30y,Baseline calibrated,18,2044,200,0.15250075396444315,0.12956228222996513,0.15180553564368904,0.17784883988438577,670.24,645.9,671.0,693.1
