scenario,run,first_step_ge_0_5,first_step_ge_0_75,first_step_ge_0_95
baseline_120y,1,112.0,,
baseline_120y,2,114.0,,
baseline_120y,3,104.0,,
baseline_120y,4,98.0,,
baseline_120y,5,94.0,,
baseline_120y,6,100.0,,
baseline_120y,7,93.0,,
baseline_120y,8,94.0,,
baseline_120y,9,90.0,,
baseline_120y,10,98.0,,
baseline_120y,11,102.0,,
baseline_120y,12,,,
baseline_120y,13,103.0,,
baseline_120y,14,101.0,,
baseline_120y,15,96.0,,
baseline_120y,16,98.0,,
baseline_120y,17,103.0,,
baseline_120y,18,116.0,,
baseline_120y,19,83.0,,
baseline_120y,20,109.0,,
baseline_120y,21,108.0,,
baseline_120y,22,76.0,,
baseline_120y,23,94.0,,
baseline_120y,24,102.0,,
baseline_120y,25,87.0,,
baseline_120y,26,,,
baseline_120y,27,99.0,,
baseline_120y,28,,,
baseline_120y,29,101.0,,
baseline_120y,30,109.0,,
baseline_120y,31,107.0,,
baseline_120y,32,93.0,,
baseline_120y,33,99.0,,
baseline_120y,34,110.0,,
baseline_120y,35,113.0,,
baseline_120y,36,104.0,,
baseline_120y,37,100.0,,
baseline_120y,38,115.0,,
baseline_120y,39,86.0,,
baseline_120y,40,79.0,,
baseline_120y,41,80.0,,
baseline_120y,42,110.0,,
baseline_120y,43,109.0,,
baseline_120y,44,102.0,,
baseline_120y,45,106.0,,
baseline_120y,46,85.0,,
baseline_120y,47,89.0,,
baseline_120y,48,106.0,,
baseline_120y,49,112.0,,
baseline_120y,50,113.0,,
baseline_120y,51,101.0,,
baseline_120y,52,,,
baseline_120y,53,106.0,,
baseline_120y,54,94.0,,
baseline_120y,55,113.0,,
baseline_120y,56,115.0,,
baseline_120y,57,106.0,,
baseline_120y,58,97.0,,
baseline_120y,59,87.0,,
baseline_120y,60,99.0,,
baseline_120y,61,113.0,,
baseline_120y,62,106.0,,
baseline_120y,63,85.0,,
baseline_120y,64,94.0,,
baseline_120y,65,100.0,,
baseline_120y,66,94.0,,
baseline_120y,67,99.0,,
baseline_120y,68,110.0,,
baseline_120y,69,88.0,,
baseline_120y,70,94.0,,
baseline_120y,71,96.0,,
baseline_120y,72,82.0,,
baseline_120y,73,102.0,,
baseline_120y,74,99.0,,
baseline_120y,75,104.0,,
baseline_120y,76,91.0,,
baseline_120y,77,101.0,,
baseline_120y,78,88.0,,
baseline_120y,79,115.0,,
baseline_120y,80,92.0,,
baseline_120y,81,98.0,,
baseline_120y,82,93.0,,
baseline_120y,83,111.0,,
baseline_120y,84,109.0,,
baseline_120y,85,95.0,,
baseline_120y,86,,,
baseline_120y,87,100.0,,
baseline_120y,88,119.0,,
baseline_120y,89,90.0,,
baseline_120y,90,98.0,,
baseline_120y,91,104.0,,
baseline_120y,92,94.0,,
baseline_120y,93,112.0,,
baseline_120y,94,88.0,,
baseline_120y,95,99.0,,
baseline_120y,96,88.0,,
baseline_120y,97,87.0,,
baseline_120y,98,,,
baseline_120y,99,120.0,,
baseline_120y,100,89.0,,
baseline_120y,101,79.0,,
baseline_120y,102,97.0,,
baseline_120y,103,89.0,,
baseline_120y,104,,,
baseline_120y,105,100.0,,
baseline_120y,106,94.0,,
baseline_120y,107,109.0,,
baseline_120y,108,78.0,,
baseline_120y,109,95.0,,
baseline_120y,110,86.0,,
baseline_120y,111,106.0,,
baseline_120y,112,94.0,,
baseline_120y,113,85.0,,
baseline_120y,114,99.0,,
baseline_120y,115,99.0,,
baseline_120y,116,117.0,,
baseline_120y,117,92.0,,
baseline_120y,118,108.0,,
baseline_120y,119,114.0,,
baseline_120y,120,105.0,,
baseline_120y,121,,,
baseline_120y,122,106.0,,
baseline_120y,123,105.0,,
baseline_120y,124,75.0,,
baseline_120y,125,92.0,,
baseline_120y,126,115.0,,
baseline_120y,127,104.0,,
baseline_120y,128,96.0,,
baseline_120y,129,81.0,,
baseline_120y,130,80.0,,
baseline_120y,131,98.0,,
baseline_120y,132,86.0,,
baseline_120y,133,105.0,,
baseline_120y,134,115.0,,
baseline_120y,135,99.0,,
baseline_120y,136,87.0,,
baseline_120y,137,97.0,,
baseline_120y,138,,,
baseline_120y,139,93.0,,
baseline_120y,140,116.0,,
baseline_120y,141,78.0,,
baseline_120y,142,109.0,,
baseline_120y,143,115.0,,
baseline_120y,144,75.0,,
baseline_120y,145,89.0,,
baseline_120y,146,116.0,,
baseline_120y,147,92.0,,
baseline_120y,148,107.0,,
baseline_120y,149,81.0,,
baseline_120y,150,,,
baseline_120y,151,98.0,,
baseline_120y,152,88.0,,
baseline_120y,153,99.0,,
baseline_120y,154,92.0,,
baseline_120y,155,90.0,,
baseline_120y,156,104.0,,
baseline_120y,157,91.0,,
baseline_120y,158,103.0,,
baseline_120y,159,86.0,,
baseline_120y,160,102.0,,
baseline_120y,161,109.0,,
baseline_120y,162,101.0,,
baseline_120y,163,120.0,,
baseline_120y,164,93.0,,
baseline_120y,165,97.0,,
baseline_120y,166,110.0,,
baseline_120y,167,,,
baseline_120y,168,107.0,,
baseline_120y,169,90.0,,
baseline_120y,170,107.0,,
baseline_120y,171,114.0,,
baseline_120y,172,101.0,,
baseline_120y,173,79.0,,
baseline_120y,174,90.0,,
baseline_120y,175,94.0,,
baseline_120y,176,108.0,,
baseline_120y,177,105.0,,
baseline_120y,178,89.0,,
baseline_120y,179,106.0,,
baseline_120y,180,109.0,,
baseline_120y,181,108.0,,
baseline_120y,182,80.0,,
baseline_120y,183,89.0,,
baseline_120y,184,96.0,,
baseline_120y,185,120.0,,
baseline_120y,186,99.0,,
baseline_120y,187,87.0,,
baseline_120y,188,91.0,,
baseline_120y,189,106.0,,
baseline_120y,190,95.0,,
baseline_120y,191,100.0,,
baseline_120y,192,93.0,,
baseline_120y,193,108.0,,
baseline_120y,194,96.0,,
baseline_120y,195,94.0,,
baseline_120y,196,112.0,,
baseline_120y,197,110.0,,
baseline_120y,198,83.0,,
baseline_120y,199,86.0,,
baseline_120y,200,,,
high_inflow_share_120y,1,91.0,,
high_inflow_share_120y,2,76.0,,
high_inflow_share_120y,3,72.0,,
high_inflow_share_120y,4,84.0,,
high_inflow_share_120y,5,84.0,,
high_inflow_share_120y,6,92.0,,
high_inflow_share_120y,7,72.0,,
high_inflow_share_120y,8,83.0,,
high_inflow_share_120y,9,90.0,,
high_inflow_share_120y,10,97.0,,
high_inflow_share_120y,11,79.0,,
high_inflow_share_120y,12,67.0,,
high_inflow_share_120y,13,89.0,,
high_inflow_share_120y,14,83.0,,
high_inflow_share_120y,15,80.0,,
high_inflow_share_120y,16,81.0,,
high_inflow_share_120y,17,86.0,,
high_inflow_share_120y,18,78.0,,
high_inflow_share_120y,19,78.0,,
high_inflow_share_120y,20,94.0,,
high_inflow_share_120y,21,89.0,,
high_inflow_share_120y,22,83.0,,
high_inflow_share_120y,23,69.0,,
high_inflow_share_120y,24,72.0,,
high_inflow_share_120y,25,91.0,,
high_inflow_share_120y,26,86.0,,
high_inflow_share_120y,27,74.0,,
high_inflow_share_120y,28,88.0,,
high_inflow_share_120y,29,73.0,,
high_inflow_share_120y,30,80.0,,
high_inflow_share_120y,31,79.0,,
high_inflow_share_120y,32,108.0,,
high_inflow_share_120y,33,78.0,,
high_inflow_share_120y,34,97.0,,
high_inflow_share_120y,35,87.0,,
high_inflow_share_120y,36,80.0,,
high_inflow_share_120y,37,85.0,,
high_inflow_share_120y,38,87.0,,
high_inflow_share_120y,39,83.0,,
high_inflow_share_120y,40,76.0,,
