scenario,run,first_step_ge_0_5,first_step_ge_0_75,first_step_ge_0_95
high_inflow_share_30y,48,,,
high_inflow_share_30y,49,,,
high_inflow_share_30y,50,,,
high_inflow_share_30y,51,,,
high_inflow_share_30y,52,,,
high_inflow_share_30y,53,,,
high_inflow_share_30y,54,,,
high_inflow_share_30y,55,,,
high_inflow_share_30y,56,,,
high_inflow_share_30y,57,,,
high_inflow_share_30y,58,,,
high_inflow_share_30y,59,,,
high_inflow_share_30y,60,,,
high_inflow_share_30y,61,,,
high_inflow_share_30y,62,,,
high_inflow_share_30y,63,,,
high_inflow_share_30y,64,,,
high_inflow_share_30y,65,,,
high_inflow_share_30y,66,,,
high_inflow_share_30y,67,,,
high_inflow_share_30y,68,,,
high_inflow_share_30y,69,,,
high_inflow_share_30y,70,,,
high_inflow_share_30y,71,,,
high_inflow_share_30y,72,,,
high_inflow_share_30y,73,,,
high_inflow_share_30y,74,,,
high_inflow_share_30y,75,,,
high_inflow_share_30y,76,,,
high_inflow_share_30y,77,,,
high_inflow_share_30y,78,,,
high_inflow_share_30y,79,,,
high_inflow_share_30y,80,,,
high_inflow_share_30y,81,,,
high_inflow_share_30y,82,,,
high_inflow_share_30y,83,,,
high_inflow_share_30y,84,,,
high_inflow_share_30y,85,,,
high_inflow_share_30y,86,,,
high_inflow_share_30y,87,,,
high_inflow_share_30y,88,,,
high_inflow_share_30y,89,,,
high_inflow_share_30y,90,,,
high_inflow_share_30y,91,,,
high_inflow_share_30y,92,,,
high_inflow_share_30y,93,,,
high_inflow_share_30y,94,,,
high_inflow_share_30y,95,,,
high_inflow_share_30y,96,,,
high_inflow_share_30y,97,,,
high_inflow_share_30y,98,,,
high_inflow_share_30y,99,,,
high_inflow_share_30y,100,,,
high_inflow_share_30y,101,,,
high_inflow_share_30y,102,,,
high_inflow_share_30y,103,,,
high_inflow_share_30y,104,,,
high_inflow_share_30y,105,,,
high_inflow_share_30y,106,,,
high_inflow_share_30y,107,,,
high_inflow_share_30y,108,,,
high_inflow_share_30y,109,,,
high_inflow_share_30y,110,,,
high_inflow_share_30y,111,,,
high_inflow_share_30y,112,,,
high_inflow_share_30y,113,,,
high_inflow_share_30y,114,,,
high_inflow_share_30y,115,,,
high_inflow_share_30y,116,,,
high_inflow_share_30y,117,,,
high_inflow_share_30y,118,,,
high_inflow_share_30y,119,,,
high_inflow_share_30y,120,,,
high_inflow_share_30y,121,,,
high_inflow_share_30y,122,,,
high_inflow_share_30y,123,,,
high_inflow_share_30y,124,,,
high_inflow_share_30y,125,,,
high_inflow_share_30y,126,,,
high_inflow_share_30y,127,,,
high_inflow_share_30y,128,,,
high_inflow_share_30y,129,,,
high_inflow_share_30y,130,,,
high_inflow_share_30y,131,,,
high_inflow_share_30y,132,,,
high_inflow_share_30y,133,,,
high_inflow_share_30y,134,,,
high_inflow_share_30y,135,,,
high_inflow_share_30y,136,,,
high_inflow_share_30y,137,,,
high_inflow_share_30y,138,,,
high_inflow_share_30y,139,,,
high_inflow_share_30y,140,,,
high_inflow_share_30y,141,,,
high_inflow_share_30y,142,,,
high_inflow_share_30y,143,,,
high_inflow_share_30y,144,,,
high_inflow_share_30y,145,,,
high_inflow_share_30y,146,,,
high_inflow_share_30y,147,,,
high_inflow_share_30y,148,,,
high_inflow_share_30y,149,,,
high_inflow_share_30y,150,,,
high_inflow_share_30y,151,,,
high_inflow_share_30y,152,,,
high_inflow_share_30y,153,,,
high_inflow_share_30y,154,,,
high_inflow_share_30y,155,,,
high_inflow_share_30y,156,,,
high_inflow_share_30y,157,,,
high_inflow_share_30y,158,,,
high_inflow_share_30y,159,,,
high_inflow_share_30y,160,,,
high_inflow_share_30y,161,,,
high_inflow_share_30y,162,,,
high_inflow_share_30y,163,,,
high_inflow_share_30y,164,,,
high_inflow_share_30y,165,,,
high_inflow_share_30y,166,,,
high_inflow_share_30y,167,,,
high_inflow_share_30y,168,,,
high_inflow_share_30y,169,,,
high_inflow_share_30y,170,,,
high_inflow_share_30y,171,,,
high_inflow_share_30y,172,,,
high_inflow_share_30y,173,,,
high_inflow_share_30y,174,,,
high_inflow_share_30y,175,,,
high_inflow_share_30y,176,,,
high_inflow_share_30y,177,,,
high_inflow_share_30y,178,,,
high_inflow_share_30y,179,,,
high_inflow_share_30y,180,,,
high_inflow_share_30y,181,,,
high_inflow_share_30y,182,,,
high_inflow_share_30y,183,,,
high_inflow_share_30y,184,,,
high_inflow_share_30y,185,,,
high_inflow_share_30y,186,,,
high_inflow_share_30y,187,,,
high_inflow_share_30y,188,,,
high_inflow_share_30y,189,,,
high_inflow_share_30y,190,,,
high_inflow_share_30y,191,,,
high_inflow_share_30y,192,,,
high_inflow_share_30y,193,,,
high_inflow_share_30y,194,,,
high_inflow_share_30y,195,,,
high_inflow_share_30y,196,,,
high_inflow_share_30y,197,,,
high_inflow_share_30y,198,,,
high_inflow_share_30y,199,,,
high_inflow_share_30y,200,,,
no_migration_30y,1,,,
no_migration_30y,2,,,
no_migration_30y,3,,,
no_migration_30y,4,,,
no_migration_30y,5,,,
no_migration_30y,6,,,
no_migration_30y,7,,,
no_migration_30y,8,,,
no_migration_30y,9,,,
no_migration_30y,10,,,
no_migration_30y,11,,,
no_migration_30y,12,,,
no_migration_30y,13,,,
no_migration_30y,14,,,
no_migration_30y,15,,,
no_migration_30y,16,,,
no_migration_30y,17,,,
no_migration_30y,18,,,
no_migration_30y,19,,,
no_migration_30y,20,,,
no_migration_30y,21,,,
no_migration_30y,22,,,
no_migration_30y,23,,,
no_migration_30y,24,,,
no_migration_30y,25,,,
no_migration_30y,26,,,
no_migration_30y,27,,,
no_migration_30y,28,,,
no_migration_30y,29,,,
no_migration_30y,30,,,
no_migration_30y,31,,,
no_migration_30y,32,,,
no_migration_30y,33,,,
no_migration_30y,34,,,
no_migration_30y,35,,,
no_migration_30y,36,,,
no_migration_30y,37,,,
no_migration_30y,38,,,
